Dtype,Temp,IID/Non-IID,Transform,M.select,Sparsity,RMSE,RMSE_base1,RMSE_base2
dist,300K,noniid,ggm,stars,0,0.997626354947263,0.997626354947263,0.391058087920915
dist,300K,noniid,npn,stars,0.122882200518238,0.327506428167765,0.997626354947263,0.206335564072939
dist,300K,noniid,ggm,ebic,0.130556109228623,0.329705063919978,0.997626354947263,0.391058087920915
dist,300K,noniid,npn,ebic,0.127699156202246,0.321484746439145,0.997626354947263,0.206335564072939
dist,300K,noniid,ggm,ric,0,0.997626354947263,0.997626354947263,0.391058087920915
dist,300K,noniid,npn,ric,0.142814430934822,0.305479146208567,0.997626354947263,0.206335564072939
dist,300K,iid,ggm,stars,0,0.997750468101959,0.997750468101959,0.355759954601578
dist,300K,iid,npn,stars,0,0.997750468101959,0.997750468101959,0.213170235702783
dist,300K,iid,ggm,ebic,0.133579164175138,0.311392972973501,0.997750468101959,0.355759954601578
dist,300K,iid,npn,ebic,0.131419839213341,0.305056425696748,0.997750468101959,0.213170235702783
dist,300K,iid,ggm,ric,0,0.997750468101959,0.997750468101959,0.355759954601578
dist,300K,iid,npn,ric,0.142316125174407,0.291865290508045,0.997750468101959,0.213170235702783
angular,300K,noniid,ggm,stars,0.0903501737503341,0.80978233835881,0.998999499499374,0.963537724905597
angular,300K,noniid,npn,stars,0.0871424752739909,0.807943211265517,0.998999499499374,0.614741062472822
angular,300K,noniid,ggm,ebic,0.143277198609997,0.770267588870768,0.998999499499374,0.963537724905597
angular,300K,noniid,npn,ebic,0.162523389468057,0.760937767681173,0.998999499499374,0.614741062472822
angular,300K,noniid,ggm,ric,0.954958567228014,0.630380465246141,0.998999499499374,0.963537724905597
angular,300K,noniid,npn,ric,0.260358192996525,0.725429380628948,0.998999499499374,0.614741062472822
angular,300K,iid,ggm,stars,0.0887463245121625,0.818303969006397,0.998999499499374,1.04200042641054
angular,300K,iid,npn,stars,0.0922213311948677,0.814731788942673,0.998999499499374,0.628762693592649
angular,300K,iid,ggm,ebic,0.136327185244587,0.786346380862545,0.998999499499374,1.04200042641054
angular,300K,iid,npn,ebic,0.140604116546378,0.783005584825324,0.998999499499374,0.628762693592649
angular,300K,iid,ggm,ric,0.80526597166533,0.660923360108033,0.998999499499374,1.04200042641054
angular,300K,iid,npn,ric,0.217321571772253,0.753885057772253,0.998999499499374,0.628762693592649
dist,350K,noniid,ggm,stars,0,0.997737739283361,0.997737739283361,0.363552824833811
dist,350K,noniid,npn,stars,0,0.997737739283361,0.997737739283361,0.217001500909268
dist,350K,noniid,ggm,ebic,0.129858481164042,0.316898252002796,0.997737739283361,0.363552824833811
dist,350K,noniid,npn,ebic,0.128131021194605,0.30794777190686,0.997737739283361,0.217001500909268
dist,350K,noniid,ggm,ric,0,0.997737739283361,0.997737739283361,0.363552824833811
dist,350K,noniid,npn,ric,0.142249684406352,0.293731377913778,0.997737739283361,0.217001500909268
dist,350K,iid,ggm,stars,0,0.997625547119771,0.997625547119771,0.360273959160999
dist,350K,iid,npn,stars,0,0.997625547119771,0.997625547119771,0.231511760142482
dist,350K,iid,ggm,ebic,0.109693708059265,0.310667303859066,0.997625547119771,0.360273959160999
dist,350K,iid,npn,ebic,0.108232011162049,0.302345808868513,0.997625547119771,0.231511760142482
dist,350K,iid,ggm,ric,0,0.997625547119771,0.997625547119771,0.360273959160999
dist,350K,iid,npn,ric,0.113979137598831,0.296096373411924,0.997625547119771,0.231511760142482
angular,350K,noniid,ggm,stars,0.125100240577386,0.828719243023445,0.998999499499374,1.09739396696854
angular,350K,noniid,npn,stars,0.120021384656509,0.833878220876662,0.998999499499374,0.648458523972998
angular,350K,noniid,ggm,ebic,0.22093023255814,0.761201853852532,0.998999499499374,1.09739396696854
angular,350K,noniid,npn,ebic,0.259556268377439,0.744036381233782,0.998999499499374,0.648458523972998
angular,350K,noniid,ggm,ric,0.380914194065758,0.721505182296032,0.998999499499374,1.09739396696854
angular,350K,noniid,npn,ric,0.340817963111468,0.718345833031812,0.998999499499374,0.648458523972998
angular,350K,iid,ggm,stars,0.10077519379845,0.86591908041121,0.998999499499374,1.68025333783523
angular,350K,iid,npn,stars,0.0943597968457632,0.873921588984306,0.998999499499374,0.754056248581843
angular,350K,iid,ggm,ebic,0.238171611868484,0.816616771110935,0.998999499499374,1.68025333783523
angular,350K,iid,npn,ebic,0.292435177759957,0.793088217290395,0.998999499499374,0.754056248581843
angular,350K,iid,ggm,ric,0.14087142475274,0.844710183976828,0.998999499499374,1.68025333783523
angular,350K,iid,npn,ric,0.369419941192195,0.779664505005932,0.998999499499374,0.754056248581843
